#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
185.78515 26.905291 0.04965675 14.90319 15.70552 14.30409 3.659088
185.42185 27.012654 0.04958167 16.70276 17.74799 15.78426 3.017989
184.58236 26.871002 0.04978991 15.43822 16.26623 14.73981 2.463071
189.5518 26.43405 0.04868823 16.95956 17.7693 16.30225 1.782
182.72282 26.956837 0.04911687 17.60459 18.06426 17.0948 2.782662
182.11964 26.877041 0.04897808 15.59976 16.51906 15.00209 3.978573
181.95162 27.04024 0.04890974 16.90756 17.37271 16.51454 4.14039
181.90318 26.987467 0.04915438 15.26472 15.97307 14.76894 4.633115
181.82078 26.835424 0.04918983 17.24317 17.59859 16.83759 3.3204
181.5216 26.931629 0.04993288 17.14377 17.49084 16.86166 3.879888
202.08603 27.026059 0.04977274 15.97528 16.75758 15.34027 2.986081
200.5327 27.241015 0.04986397 16.35808 17.11345 15.72687 2.959529
185.07727 27.920385 0.04940661 14.73608 15.27213 14.22336 7.605594
184.75206 28.081847 0.04886724 17.39792 17.81233 16.95877 2.777745
183.84347 28.068586 0.04902358 16.64198 16.9688 16.50149 5.237565
184.2402 27.706875 0.0493232 16.52189 16.96072 22.56761 3.71949
183.59727 27.528655 0.04876936 16.97902 17.2839 16.63402 1.819518
184.46961 27.182401 0.04946293 16.34421 17.04868 15.66382 4.739787
189.04519 26.696123 0.04917746 15.88417 16.72449 15.21807 1.997625
189.03227 26.678093 0.04965878 15.70016 16.47097 15.07354 2.467162
180.22277 26.682314 0.0496365 16.45819 17.3463 15.65968 1.75876
180.15521 26.729297 0.04999306 16.3788 17.18035 15.7122 2.550912
201.48588 30.232318 0.04880907 17.4441 18.08294 16.80983 2.70378
202.45748 29.579716 0.04897743 16.05993 16.4805 15.63771 3.681839
187.60951 30.626237 0.0494504 15.76845 16.55104 15.01708 2.78986
193.9883 29.927613 0.04947133 17.47068 17.69219 17.18261 2.53319
187.5556 30.385831 0.04960103 15.60377 16.02858 15.29539 7.659481
201.29379 26.905122 0.04883851 16.95748 17.79088 16.30669 2.501336
207.07323 25.671171 0.04943087 15.8777 16.72417 15.1431 2.009049
207.01046 25.703206 0.04934935 17.09253 17.77988 16.5559 4.374002
206.00884 25.727367 0.04886926 17.12736 17.76428 16.52138 2.226018
204.507 26.03643 0.0498314 16.82772 17.55171 15.94484 2.816131
206.32711 25.403349 0.0489458 15.56197 16.39676 14.90523 2.95912
208.49433 24.632766 0.04938048 17.80206 18.27288 17.22178 2.335325
206.79041 29.053796 0.04965578 17.31751 17.48559 17.11028 3.106984
199.05176 30.246757 0.04878208 16.22941 16.85202 15.55104 4.022463
199.1258 30.272493 0.04973514 15.84149 16.45829 15.14046 5.436953
199.06648 30.264519 0.04918642 14.45489 15.04981 13.92607 4.414737
200.1965 29.599887 0.04883187 15.62545 16.46753 14.92766 2.789634
